content_key,subject_key,item_type,existing_prompt_json_topic,parsed_code,code_in_closed_list,existing_coverage_label,unit_signals
apphy1-mcq-017,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-8-fluids"",""practice-2""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-018,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-8-fluids"",""practice-3""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-019,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-2-force-and-translational-dynamics"",""practice-1""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-020,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-3-work-energy-and-power"",""practice-2""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-021,ap-physics-1,mcq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-022,ap-physics-1,mcq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-023,ap-physics-1,mcq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-024,ap-physics-1,mcq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-025,ap-physics-1,mcq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-026,ap-physics-1,mcq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-027,ap-physics-1,mcq,1.2,1.2,true,false,"{""modules"":[""unit-1-kinematics"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-028,ap-physics-1,mcq,1.5,1.5,true,false,"{""modules"":[""unit-1-kinematics"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-029,ap-physics-1,mcq,1.4,1.4,true,false,"{""modules"":[""unit-1-kinematics"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-030,ap-physics-1,mcq,2.3,2.3,true,false,"{""modules"":[""unit-2-force-and-translational-dynamics"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-031,ap-physics-1,mcq,2.6,2.6,true,false,"{""modules"":[""unit-2-force-and-translational-dynamics"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-032,ap-physics-1,mcq,2.7,2.7,true,false,"{""modules"":[""unit-2-force-and-translational-dynamics"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-033,ap-physics-1,mcq,2.8,2.8,true,false,"{""modules"":[""unit-2-force-and-translational-dynamics"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-034,ap-physics-1,mcq,2.9,2.9,true,false,"{""modules"":[""unit-2-force-and-translational-dynamics"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-035,ap-physics-1,mcq,2.1,2.1,true,false,"{""modules"":[""unit-2-force-and-translational-dynamics"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-036,ap-physics-1,mcq,3.1,3.1,true,false,"{""modules"":[""unit-3-work-energy-and-power"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-037,ap-physics-1,mcq,3.2,3.2,true,false,"{""modules"":[""unit-3-work-energy-and-power"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-038,ap-physics-1,mcq,3.3,3.3,true,false,"{""modules"":[""unit-3-work-energy-and-power"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-039,ap-physics-1,mcq,3.4,3.4,true,false,"{""modules"":[""unit-3-work-energy-and-power"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-040,ap-physics-1,mcq,3.5,3.5,true,false,"{""modules"":[""unit-3-work-energy-and-power"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-041,ap-physics-1,mcq,3.4,3.4,true,false,"{""modules"":[""unit-3-work-energy-and-power"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-042,ap-physics-1,mcq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-043,ap-physics-1,mcq,4.3,4.3,true,false,"{""modules"":[""unit-4-linear-momentum"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-044,ap-physics-1,mcq,4.4,4.4,true,false,"{""modules"":[""unit-4-linear-momentum"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-045,ap-physics-1,mcq,5.4,5.4,true,false,"{""modules"":[""unit-5-torque-and-rotational-dynamics"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-046,ap-physics-1,mcq,5.4,5.4,true,false,"{""modules"":[""unit-5-torque-and-rotational-dynamics"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-047,ap-physics-1,mcq,5.6,5.6,true,false,"{""modules"":[""unit-5-torque-and-rotational-dynamics"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-048,ap-physics-1,mcq,7.2,7.2,true,false,"{""modules"":[""unit-7-oscillations"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-049,ap-physics-1,mcq,7.4,7.4,true,false,"{""modules"":[""unit-7-oscillations"",""physics-expansion-2026-07-24""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-050,ap-physics-1,mcq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-np1-001,ap-physics-1,mcq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-np1-002,ap-physics-1,mcq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-np1-003,ap-physics-1,mcq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-np1-004,ap-physics-1,mcq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-np1-005,ap-physics-1,mcq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-np1-006,ap-physics-1,mcq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-np1-007,ap-physics-1,mcq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-np1-008,ap-physics-1,mcq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-np1-009,ap-physics-1,mcq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-np1-010,ap-physics-1,mcq,,,false,false,"{""modules"":null,""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-np2-001,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-4-linear-momentum"",""topic-4.2""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-np2-003,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-4-linear-momentum"",""topic-4.3""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-np2-004,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-5-torque-and-rotational-dynamics"",""topic-5.3""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-np2-008,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-8-fluids"",""topic-8.3""],""unit"":null,""taxonomy_refs"":null}"
apphy1-mcq-np2-009,ap-physics-1,mcq,,,false,false,"{""modules"":[""unit-8-fluids"",""topic-8.4""],""unit"":null,""taxonomy_refs"":null}"
