content_key,subject_key,item_type,existing_prompt_json_topic,parsed_code,code_in_closed_list,existing_coverage_label,unit_signals
apphycm-mcq-020,ap-physics-c-mechanics,mcq,,,false,false,"{""unit"":null,""topic"":null,""modules"":[""unit-7-oscillations"",""practice-2""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-021,ap-physics-c-mechanics,mcq,1.2,1.2,true,false,"{""unit"":null,""topic"":""1.2"",""modules"":[""unit-1-kinematics"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-022,ap-physics-c-mechanics,mcq,1.3,1.3,true,false,"{""unit"":null,""topic"":""1.3"",""modules"":[""unit-1-kinematics"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-023,ap-physics-c-mechanics,mcq,2.2,2.2,true,false,"{""unit"":null,""topic"":""2.2"",""modules"":[""unit-2-force-and-translational-dynamics"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-024,ap-physics-c-mechanics,mcq,3.3,3.3,true,false,"{""unit"":null,""topic"":""3.3"",""modules"":[""unit-3-work-energy-and-power"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-025,ap-physics-c-mechanics,mcq,2.9,2.9,true,false,"{""unit"":null,""topic"":""2.9"",""modules"":[""unit-2-force-and-translational-dynamics"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-026,ap-physics-c-mechanics,mcq,2.10,2.10,true,false,"{""unit"":null,""topic"":""2.10"",""modules"":[""unit-2-force-and-translational-dynamics"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-027,ap-physics-c-mechanics,mcq,3.2,3.2,true,false,"{""unit"":null,""topic"":""3.2"",""modules"":[""unit-3-work-energy-and-power"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-028,ap-physics-c-mechanics,mcq,3.3,3.3,true,false,"{""unit"":null,""topic"":""3.3"",""modules"":[""unit-3-work-energy-and-power"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-029,ap-physics-c-mechanics,mcq,3.4,3.4,true,false,"{""unit"":null,""topic"":""3.4"",""modules"":[""unit-3-work-energy-and-power"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-030,ap-physics-c-mechanics,mcq,3.5,3.5,true,false,"{""unit"":null,""topic"":""3.5"",""modules"":[""unit-3-work-energy-and-power"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-031,ap-physics-c-mechanics,mcq,4.1,4.1,true,false,"{""unit"":null,""topic"":""4.1"",""modules"":[""unit-4-linear-momentum"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-032,ap-physics-c-mechanics,mcq,4.2,4.2,true,false,"{""unit"":null,""topic"":""4.2"",""modules"":[""unit-4-linear-momentum"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-033,ap-physics-c-mechanics,mcq,4.3,4.3,true,false,"{""unit"":null,""topic"":""4.3"",""modules"":[""unit-4-linear-momentum"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-034,ap-physics-c-mechanics,mcq,4.4,4.4,true,false,"{""unit"":null,""topic"":""4.4"",""modules"":[""unit-4-linear-momentum"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-035,ap-physics-c-mechanics,mcq,5.3,5.3,true,false,"{""unit"":null,""topic"":""5.3"",""modules"":[""unit-5-torque-and-rotational-dynamics"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-036,ap-physics-c-mechanics,mcq,5.6,5.6,true,false,"{""unit"":null,""topic"":""5.6"",""modules"":[""unit-5-torque-and-rotational-dynamics"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-037,ap-physics-c-mechanics,mcq,6.1,6.1,true,false,"{""unit"":null,""topic"":""6.1"",""modules"":[""unit-6-energy-and-momentum-of-rotating-systems"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-038,ap-physics-c-mechanics,mcq,6.3,6.3,true,false,"{""unit"":null,""topic"":""6.3"",""modules"":[""unit-6-energy-and-momentum-of-rotating-systems"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-039,ap-physics-c-mechanics,mcq,6.5,6.5,true,false,"{""unit"":null,""topic"":""6.5"",""modules"":[""unit-6-energy-and-momentum-of-rotating-systems"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-040,ap-physics-c-mechanics,mcq,6.6,6.6,true,false,"{""unit"":null,""topic"":""6.6"",""modules"":[""unit-6-energy-and-momentum-of-rotating-systems"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-041,ap-physics-c-mechanics,mcq,7.2,7.2,true,false,"{""unit"":null,""topic"":""7.2"",""modules"":[""unit-7-oscillations"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
apphycm-mcq-042,ap-physics-c-mechanics,mcq,7.4,7.4,true,false,"{""unit"":null,""topic"":""7.4"",""modules"":[""unit-7-oscillations"",""physics-expansion-2026-07-24""],""subtopics"":null,""taxonomy_refs"":null}"
