file_name,image_id,image_role,source_image_id,response_id,item_id,content_item_version_id,transformation,metadata_status,provenance_status,consent_status,storage_scope,captured_at,ingested_at
HDG-2026-P1-EST-015__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-EST-016__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-SER-001__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-SER-002__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-SER-003__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-SER-004__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-SER-005__response-03.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-SER-006__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-SER-007__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-SER-008__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-SER-009__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-SER-010__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-SER-011__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-SER-012__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-SER-013__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-SER-014__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-SER-015__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
HDG-2026-P1-SER-016__response-02.png,,,,,,,,,owner_or_contracted_creator,rights_transferred_via_standard_platform_tos,,,
