content_item_id,subject_key,item_type,has_topic_label,has_canonical_answer_1,has_prior_model_run,has_author_prose,criteria_count
cafad641-e2b9-46a5-8204-3bf73d9c899f,ap-statistics,mcq,false,false,false,false,0
141b84a1-8e40-4e9e-8fc7-a67565129ef2,ap-statistics,mcq,false,false,false,false,0
2ccbc0dc-6539-402c-b1e4-623d99db6116,ap-statistics,mcq,false,false,false,false,0
45e7e50e-6ccf-4054-8d06-891f05f615c5,ap-statistics,mcq,false,false,false,false,0
16367987-197b-4fd5-848a-95ba4d8bebf0,ap-statistics,mcq,false,false,false,false,0
5b23352c-c3fa-4a0c-8933-8a4b7ffaf945,ap-statistics,mcq,false,false,false,false,0
4bb5c2f8-0ab8-4227-8f66-6b6def95b136,ap-statistics,mcq,false,false,false,false,0
965cf0d2-3f37-4944-ab8e-3b4a8be1b652,ap-statistics,mcq,false,false,false,false,0
f0da6014-0f5d-4ce0-a731-66063b5797a2,ap-statistics,mcq,false,false,false,false,0
2b063ad8-738a-40c8-858c-6e1c4a7204d6,ap-statistics,mcq,false,false,false,false,0
ac4d3a6b-1d4b-47ce-a364-ce7fb95bb56a,ap-statistics,mcq,false,false,false,false,0
d50bc7f9-cad7-4567-9fbb-0c626fec7151,ap-statistics,mcq,false,false,false,false,0
0433533a-5461-4bed-9e99-66713d4f6561,ap-statistics,mcq,false,false,false,false,0
37735ec5-d177-4f7f-aa4b-497df871da35,ap-statistics,mcq,false,false,false,false,0
f4aa7eba-a38b-466a-bf32-edfae5f5a676,ap-statistics,mcq,false,false,false,false,0
3777af92-7049-4691-af15-31ec140baae7,ap-statistics,mcq,false,false,false,false,0
15f3e1ba-8950-42d3-9f6b-e9ab8da30593,ap-statistics,mcq,false,false,false,false,0
42668bcb-63b0-4cb7-a865-bc896e32ea55,ap-statistics,mcq,false,false,false,false,0
ac4f56b6-c442-4a93-92b9-a88a3c0a1486,ap-statistics,mcq,false,false,false,false,0
71469c6b-2f7f-4479-bf4e-9b1a85dbb56c,ap-statistics,mcq,false,false,false,false,0
f290c308-8a72-48f9-9092-12b332c5d8ec,ap-statistics,mcq,false,false,false,false,0
9eac7e43-9b8b-4168-9dc2-ea5ff7e75f0a,ap-statistics,mcq,false,false,false,false,0
caab716d-74dd-4a50-8483-a99573708cd1,ap-statistics,mcq,false,false,false,false,0
809d712f-5200-4ccd-8674-9a8dbd08ac3b,ap-statistics,mcq,false,false,false,false,0
4471806c-6298-4e1d-9bab-6c56ec3eee05,ap-statistics,mcq,false,false,false,false,0
31f9e1d9-385b-44bb-8146-b09e8a032860,ap-statistics,mcq,false,false,false,false,0
179c9e44-82b7-46a3-8ae7-5e7715f8aeba,ap-statistics,mcq,false,false,false,false,0
9948edb0-4eb9-4cac-be09-123c88268622,ap-statistics,mcq,false,false,false,false,0
ed001230-8216-4f24-b63f-4428bdbd07bf,ap-statistics,mcq,false,false,false,false,0
c4065503-53cb-4638-b4a5-509ea51f5832,ap-statistics,mcq,false,false,false,false,0
317421de-3cf0-42d7-b77b-0020b7fe8161,ap-statistics,mcq,false,false,false,false,0
4c8036bb-8dd3-4b95-869d-986c9fe6fa45,ap-statistics,mcq,false,false,false,false,0
0cb5ece5-3e26-480c-bfca-4d9c478c3a6c,ap-statistics,mcq,false,false,false,false,0
6752d045-8afa-4236-a3a1-16f59a86a1a1,ap-statistics,mcq,false,false,false,false,0
b4248cbe-53e4-4672-ab53-79d272f2358a,ap-statistics,mcq,false,false,false,false,0
f912b3c2-f978-4e25-93e0-e9ac8de4b501,ap-statistics,mcq,false,false,false,false,0
a4090ab8-7e79-401b-846a-3d6c09b3e9d2,ap-statistics,mcq,false,false,false,false,0
2324bef6-f678-4ec9-9d62-f6266f2ee940,ap-statistics,mcq,false,false,false,false,0
8a2c4b33-ea79-4b25-9cd9-430b38c29421,ap-statistics,mcq,false,false,false,false,0
3c95c5c6-9ceb-4259-9b6e-489b7df8449c,ap-statistics,mcq,false,false,false,false,0
69d691b2-ab0e-4ef4-82d6-57f74a749145,ap-statistics,mcq,false,false,false,false,0
f9bc58a1-cf19-4bf8-a13f-773b1df6154a,ap-statistics,mcq,false,false,false,false,0
f5b3dfb1-c7b4-41cf-a09c-9b3f2d8085ea,ap-statistics,mcq,false,false,false,false,0
6eddea6b-645a-4c02-9af1-880c64505fdb,ap-statistics,mcq,false,false,false,false,0
06229693-b034-4e11-b074-4937da5fc2d3,ap-statistics,mcq,false,false,false,false,0
6f05c86a-044f-4152-af3c-b2d61b79fbce,ap-statistics,mcq,false,false,false,false,0
423e45b5-0ce4-4a9c-bdb9-c5c695ab4cfd,ap-statistics,mcq,false,false,false,false,0
842aa22c-4a0d-49cc-b91c-4f994f30d2db,ap-statistics,mcq,false,false,false,false,0
d1c1f39c-eca0-4dae-83c0-f26527434067,ap-statistics,mcq,false,false,false,false,0
3b2603e2-43e4-4636-a099-54213b0da429,ap-statistics,mcq,false,false,false,false,0
d098685b-e0aa-40b2-8151-b635ff0960b0,ap-statistics,mcq,false,false,false,false,0
dbf24537-14df-4cb2-89bb-b1822498074b,ap-statistics,mcq,false,false,false,false,0
db16900a-bd4a-4bae-881b-1852327a1269,ap-statistics,mcq,false,false,false,false,0
6bc15dd8-2089-482d-af27-cd34a10bb6cf,ap-statistics,mcq,false,false,false,false,0
684f24ed-ad59-448f-8946-1b8ac06178bf,ap-statistics,mcq,false,false,false,false,0
2ce51f8f-ecf6-4031-8cdf-f482e8f1b5ee,ap-statistics,mcq,false,false,false,false,0
3db0702b-34ea-4bf7-a032-544722d08c39,ap-statistics,mcq,false,false,false,false,0
4a77f708-7445-40c4-a9cd-1a9662caf647,ap-statistics,mcq,false,false,false,false,0
799e01e4-4998-48a9-81f7-39e24e5e7d21,ap-statistics,mcq,false,false,false,false,0
1353182c-7fd1-41ce-b231-582737980d35,ap-statistics,mcq,false,false,false,false,0
cb01f0f2-a4d9-4abf-940c-1f58626bf162,ap-statistics,mcq,false,false,false,false,0
48e03b22-3821-4f54-b8e9-787ce3878252,ap-statistics,mcq,false,false,false,false,0
1b43c739-1bf9-4def-b0b2-15b0e08cc6aa,ap-statistics,mcq,false,false,false,false,0
